Wavelength,Abs,PL
678.734,1.2,
679.187,1.2,
679.639,1.19,
680.092,1.19,
680.545,1.19,
680.998,1.19,
681.451,1.19,
681.904,1.18,
682.357,1.18,
682.809,1.18,
683.262,1.17,
683.715,1.17,
684.167,1.18,
684.62,1.17,
685.073,1.17,
685.525,1.16,
685.978,1.16,
686.43,1.16,
686.883,1.16,
687.335,1.15,
687.788,1.15,
688.24,1.16,
688.692,1.15,
689.145,1.14,
689.597,1.15,
690.049,1.14,
690.502,1.14,
690.954,1.14,
691.406,1.13,
691.858,1.14,
692.31,1.13,
692.762,1.13,
693.215,1.13,
693.667,1.13,
694.119,1.12,
694.571,1.12,
695.023,1.12,
695.475,1.12,
695.926,1.11,
696.378,1.12,
696.83,1.11,
697.282,1.11,
697.734,1.11,
698.186,1.11,
698.637,1.11,
699.089,1.11,
699.541,1.1,
699.992,1.1,
700.444,1.1,
700.896,1.1,
701.347,1.09,
701.799,1.09,
702.25,1.09,
702.702,1.09,
703.153,1.09,
703.605,1.08,
704.056,1.08,
704.507,1.08,
704.959,1.08,
705.41,1.08,
705.861,1.07,
706.312,1.07,
706.764,1.07,
707.215,1.07,
707.666,1.07,
708.117,1.07,
708.568,1.07,
709.019,1.07,
709.47,1.06,
709.921,1.06,
710.372,1.06,
710.823,1.05,
711.274,1.06,
711.725,1.05,
712.176,1.06,
712.627,1.05,
713.078,1.05,
713.528,1.05,
713.979,1.04,
714.43,1.04,
714.881,1.05,
715.331,1.04,
715.782,1.04,
716.233,1.04,
716.683,1.04,
717.134,1.03,
717.584,1.04,
718.035,1.03,
718.485,1.03,
718.936,1.03,
719.386,1.03,
719.836,1.03,
720.287,1.02,
720.737,1.02,
721.187,1.02,
721.637,1.02,
722.088,1.01,
722.538,1.01,
722.988,1.01,
723.438,1.01,
723.888,1.01,
724.338,1.01,
724.788,1.01,
725.238,1,
725.688,1,
726.138,1,
726.588,1,
727.038,1,
727.488,0.99,
727.938,0.99,
728.388,0.99,
728.837,0.99,
729.287,0.99,
729.737,0.99,
730.187,0.99,
730.636,0.99,
731.086,0.99,
731.535,0.98,
731.985,0.98,
732.434,0.98,
732.884,0.97,
733.333,0.97,
733.783,0.97,
734.232,0.96,
734.682,0.96,
735.131,0.96,
735.58,0.96,
736.03,0.95,
736.479,0.95,
736.928,0.95,
737.377,0.94,
737.827,0.94,
738.276,0.93,
738.725,0.93,
739.174,0.93,
739.623,0.92,
740.072,0.91,
740.521,0.91,
740.97,0.91,
741.419,0.9,
741.868,0.9,
742.317,0.89,
742.766,0.88,
743.214,0.88,
743.663,0.87,
744.112,0.86,
744.561,0.85,
745.009,0.84,
