Wavelength,Abs,Wavelength2,PL
474.048,2.88,776.14697,0.72099
474.512,2.7,776.41913,0.7137
474.977,2.8,776.69135,0.70321
475.441,2.88,776.9635,0.69504
475.906,2.84,777.23566,0.68426
476.37,2.87,777.50781,0.66443
476.834,2.85,777.78003,0.67026
477.299,2.69,778.05219,0.64694
477.763,2.92,778.32428,0.65569
478.227,2.93,778.59644,0.63761
478.692,2.86,778.86859,0.63324
479.156,2.78,779.14075,0.6344
479.62,2.98,779.41284,0.61399
480.084,2.81,779.685,0.59184
480.548,2.72,779.95709,0.60233
481.013,2.78,780.22925,0.58863
481.477,2.87,780.50134,0.57755
481.941,2.71,780.77344,0.56764
482.405,2.85,781.04553,0.55948
482.869,2.9,781.31763,0.54461
483.333,2.79,781.58972,0.55102
483.797,2.75,781.86182,0.53294
484.261,2.77,782.13391,0.53382
484.725,2.84,782.40594,0.5242
485.189,2.75,782.67804,0.50525
485.653,2.81,782.95007,0.5137
486.117,2.8,783.22217,0.50292
486.581,3.01,783.4942,0.49854
487.044,2.95,783.7663,0.47988
487.508,2.86,784.03833,0.47201
487.972,2.83,784.31036,0.46443
488.436,2.72,784.5824,0.45977
488.9,2.67,784.85443,0.43907
489.363,2.69,785.12646,0.4449
489.827,2.75,785.39844,0.43207
490.291,2.63,785.67047,0.43294
490.754,2.67,785.9425,0.41837
491.218,2.76,786.21448,0.42682
491.682,2.73,786.48645,0.41341
492.145,2.74,786.75848,0.40058
492.609,2.7,787.03046,0.40554
493.072,2.7,787.30243,0.39009
493.536,2.75,787.5744,0.37872
493.999,2.9,787.84637,0.38047
494.463,2.74,788.11835,0.37318
494.926,2.76,788.39032,0.36618
495.39,2.75,788.66229,0.36064
495.853,2.6,788.9342,0.34461
496.316,2.66,789.20618,0.35131
496.78,2.75,789.47809,0.34752
497.243,2.72,789.75006,0.33965
497.706,2.7,790.02197,0.33732
498.17,2.68,790.29388,0.31866
498.633,2.9,790.5658,0.32274
499.096,2.76,790.83771,0.30612
499.559,2.73,791.10962,0.31312
500.023,2.96,791.38153,0.29767
500.486,2.7,791.65344,0.29446
500.949,2.79,791.92535,0.29475
501.412,3,792.1972,0.28863
501.875,2.71,792.46912,0.2863
502.338,2.7,792.74097,0.28192
502.801,3.23,793.01282,0.2723
503.264,2.71,793.28473,0.27405
503.727,2.89,793.55658,0.2621
504.19,2.81,793.82843,0.26064
504.653,2.82,794.10028,0.25073
505.116,2.75,794.37213,0.24665
505.579,2.82,794.64398,0.24636
506.042,2.85,794.91577,0.24111
506.505,2.76,795.18762,0.23644
506.967,2.88,795.45947,0.23236
507.43,2.97,795.73126,0.22274
507.893,2.75,796.00305,0.22682
508.356,2.84,796.2749,0.21866
508.819,2.77,796.54669,0.21195
509.281,2.71,796.81848,0.21166
509.744,2.9,797.09027,0.20379
510.207,2.79,797.36206,0.19475
510.669,2.74,797.63385,0.19971
511.132,2.82,797.90558,0.19359
511.594,2.79,798.17737,0.18717
512.057,2.79,798.44916,0.18863
512.52,2.75,798.72089,0.1828
512.982,2.68,798.99261,0.18047
513.445,2.69,799.2644,0.16706
513.907,2.81,799.53613,0.17347
514.369,2.69,799.80786,0.16501
514.832,2.73,800.07959,0.16589
515.294,2.9,800.35132,0.16327
515.757,2.64,800.62305,0.16035
516.219,2.64,800.89471,0.15977
516.681,2.93,801.16644,0.1519
517.144,2.73,801.43817,0.15219
517.606,2.77,801.70984,0.14723
518.068,2.76,801.98157,0.14519
518.53,2.69,802.25323,0.14023
518.993,2.74,802.5249,0.13732
519.455,3.09,802.79657,0.13499
519.917,2.94,803.06824,0.13499
520.379,2.66,803.3399,0.12886
520.841,3.01,803.61157,0.12653
